iter	Logloss
0	0.4063124289
1	0.2047066175
2	0.1163151119
3	0.06665098375
4	0.03811917671
5	0.02408698928
6	0.01624465718
7	0.0120190443
8	0.008541095476
9	0.006861006066
10	0.005852402863
11	0.005150397367
12	0.004481846535
13	0.003819418787
14	0.003385334074
15	0.003111207363
16	0.002767211911
17	0.002467849626
18	0.002129079654
19	0.00197618524
20	0.001851055571
21	0.001736816318
22	0.001667203284
23	0.001577778267
24	0.001495227874
25	0.001436848918
26	0.0013778002
27	0.001298740062
28	0.001264174491
29	0.001210700618
30	0.001158430288
31	0.001134884609
32	0.001100331737
33	0.001058424363
34	0.001030226657
35	0.000994074619
36	0.0009401846561
37	0.0009309708229
38	0.0009110427784
39	0.0008869309682
40	0.0008747003285
41	0.0008529076141
42	0.0008529076141
43	0.0007856685264
44	0.0007733362331
45	0.0007733362331
46	0.0007674442277
47	0.0007485195807
48	0.000723233302
49	0.0007151151438
50	0.0007098056213
51	0.0006907551404
52	0.0006786637846
53	0.0006786637846
54	0.0006521017349
55	0.0006461144787
56	0.0006403045408
57	0.0006354845424
58	0.0006354845424
59	0.0006233904512
60	0.0006066705595
61	0.0006066705595
62	0.0005894716643
63	0.0005830353158
64	0.0005800607432
65	0.0005776853326
66	0.000570598215
67	0.000570523967
68	0.000570523967
69	0.0005681041972
70	0.0005681041972
71	0.0005660817173
72	0.0005660817173
73	0.0005661748584
74	0.0005661748584
75	0.0005661748584
76	0.0005661748584
77	0.0005661748584
78	0.0005564905577
79	0.0005564977395
80	0.0005509957301
81	0.0005342479417
82	0.0005341589777
83	0.0005340455719
84	0.0005341694071
85	0.000534222024
86	0.000534222024
87	0.000534222024
88	0.0005216726343
89	0.0005217498356
90	0.0005217498356
91	0.0005217607508
92	0.0005217607508
93	0.0005217540932
94	0.0005021005332
95	0.0005021005332
96	0.0005021005332
97	0.0004965694416
98	0.0004965694416
99	0.0004965694416
100	0.0004966178538
101	0.0004966178538
102	0.0004965727777
103	0.0004965727777
104	0.0004965727777
105	0.0004967675143
106	0.0004967675143
